	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1457	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1458	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1459	NA	NA	NA	NA	NA	NA	NA
ASV_1460	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1461	NA	NA	NA	NA	NA	NA	NA
ASV_1462	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1463	NA	NA	NA	NA	NA	NA	NA
ASV_1464	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1465	NA	NA	NA	NA	NA	NA	NA
ASV_1466	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1467	NA	NA	NA	NA	NA	NA	NA
ASV_1468	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1469	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1470	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1471	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_1472	k__Bacteria	 Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__
ASV_1473	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1474	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1475	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	NA	NA	NA	NA
ASV_1476	NA	NA	NA	NA	NA	NA	NA
ASV_1477	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1478	NA	NA	NA	NA	NA	NA	NA
ASV_1479	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1480	NA	NA	NA	NA	NA	NA	NA
ASV_1481	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1482	k__Bacteria	 Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__succinicans
ASV_1483	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1484	NA	NA	NA	NA	NA	NA	NA
ASV_1485	NA	NA	NA	NA	NA	NA	NA
ASV_1486	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1487	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1488	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1489	NA	NA	NA	NA	NA	NA	NA
ASV_1490	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1491	NA	NA	NA	NA	NA	NA	NA
ASV_1492	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1493	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__saccharogumia
ASV_1494	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1495	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1496	NA	NA	NA	NA	NA	NA	NA
ASV_1497	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1498	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1499	NA	NA	NA	NA	NA	NA	NA
ASV_1500	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1501	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1502	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1503	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1504	NA	NA	NA	NA	NA	NA	NA
ASV_1505	NA	NA	NA	NA	NA	NA	NA
ASV_1506	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1507	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1508	NA	NA	NA	NA	NA	NA	NA
ASV_1509	NA	NA	NA	NA	NA	NA	NA
ASV_1510	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1511	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1512	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1513	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1514	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1515	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1516	NA	NA	NA	NA	NA	NA	NA
ASV_1517	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1518	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1519	NA	NA	NA	NA	NA	NA	NA
ASV_1520	NA	NA	NA	NA	NA	NA	NA
ASV_1521	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1522	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1523	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1524	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1525	NA	NA	NA	NA	NA	NA	NA
ASV_1526	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_1527	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1528	NA	NA	NA	NA	NA	NA	NA
ASV_1529	NA	NA	NA	NA	NA	NA	NA
ASV_1530	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1531	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1532	NA	NA	NA	NA	NA	NA	NA
ASV_1533	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1534	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1535	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1536	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1537	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1538	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1539	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1540	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1541	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1542	NA	NA	NA	NA	NA	NA	NA
ASV_1543	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1544	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1545	NA	NA	NA	NA	NA	NA	NA
ASV_1546	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1547	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1548	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1549	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1550	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1551	NA	NA	NA	NA	NA	NA	NA
ASV_1552	NA	NA	NA	NA	NA	NA	NA
ASV_1553	NA	NA	NA	NA	NA	NA	NA
ASV_1554	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1555	k__Bacteria	 Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__	s__
ASV_1556	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1557	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1558	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1559	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1560	NA	NA	NA	NA	NA	NA	NA
ASV_1561	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1562	NA	NA	NA	NA	NA	NA	NA
ASV_1563	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1564	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1565	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1566	NA	NA	NA	NA	NA	NA	NA
ASV_1567	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1568	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1569	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1570	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1571	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1572	NA	NA	NA	NA	NA	NA	NA
ASV_1573	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1574	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	NA	NA	NA	NA
ASV_1575	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1576	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1577	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1578	k__Bacteria	 Firmicutes	c__Bacilli	NA	NA	NA	NA
ASV_1579	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1580	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1581	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1582	NA	NA	NA	NA	NA	NA	NA
ASV_1583	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1584	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1585	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1586	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1587	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1588	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1589	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1590	NA	NA	NA	NA	NA	NA	NA
ASV_1591	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1592	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1593	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1594	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1595	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1596	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1597	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1598	NA	NA	NA	NA	NA	NA	NA
ASV_1599	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1600	NA	NA	NA	NA	NA	NA	NA
ASV_1601	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1602	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1603	k__Bacteria	 Bacteroidetes	NA	NA	NA	NA	NA
ASV_1604	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_1605	NA	NA	NA	NA	NA	NA	NA
ASV_1606	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1607	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1608	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1609	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1610	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1611	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1612	NA	NA	NA	NA	NA	NA	NA
ASV_1613	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1614	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_1615	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1616	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1617	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1618	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1619	NA	NA	NA	NA	NA	NA	NA
ASV_1620	k__Bacteria	NA	NA	NA	NA	NA	NA
